competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_National_Record_Breaker,Actual_National_Record_Breaker,Prediction_Correct
South Africa,4x400-metres-relay,male,RSA,177.5,Yes,Yes,Yes
Peter BOL,800-metres,male,AUS,103.88,Yes,Yes,Yes
Mohamed ATTAOUI,800-metres,male,ESP,102.21,Yes,Yes,Yes
Marco AROP,800-metres,male,CAN,102.22,Yes,Yes,Yes
Cooper LUTKENHAUS,800-metres,male,USA,102.27,Yes,Yes,Yes
Djamel SEDJATI,800-metres,male,ALG,102.27,Yes,Yes,Yes
Cooper LUTKENHAUS,800-metres,male,USA,102.27,Yes,Yes,Yes
Cooper LUTKENHAUS,800-metres,male,USA,102.27,Yes,Yes,Yes
Peter BOL,800-metres,male,AUS,102.55,Yes,Yes,Yes
Marco AROP,800-metres,male,CAN,102.57,Yes,Yes,Yes
