competitor,Discipline,Sex,Nationality,mark_numeric,Predicted_Personal_Best_Breaker,Actual_Personal_Best_Breaker,Prediction_Correct
South Africa,4x400-metres-relay,male,RSA,177.5,Yes,Yes,Yes
Patryk SIERADZKI,800-metres,male,POL,104.56,Yes,Yes,Yes
Niels LAROS,800-metres,male,NED,104.36,Yes,Yes,Yes
Nicholas Kiplangat KEBENEI,800-metres,male,KEN,104.37,Yes,Yes,Yes
Handal ROBAN,800-metres,male,VIN,104.39,Yes,Yes,Yes
Francesco PERNICI,800-metres,male,ITA,104.39,Yes,Yes,Yes
Paul ANSELMINI,800-metres,male,FRA,104.4,Yes,Yes,Yes
Navasky ANDERSON,800-metres,male,JAM,104.4,Yes,Yes,Yes
Tobias GRØNSTAD,800-metres,male,NOR,104.41,Yes,Yes,Yes
Pablo SÁNCHEZ-VALLADARES,800-metres,male,ESP,104.46,Yes,Yes,Yes
